Name,Organization,Year Elected,Residency,Status
James F. Cooper,APS,1823,Resident,Member
William Darlington,APS,1823,Resident,Member
Gaspard Deabbate,APS,1823,International,Member
Jean M. Duponceau,APS,1823,International,Member
Samuel Jackson,APS,1823,Resident,Member
Jason O'B Lawrence,APS,1823,Resident,Member
Sir William Lawrence,APS,1823,International,Member
Stephen H. Long,APS,1823,Resident,Member
Paul de Lovenorn,APS,1823,International,Member
William J. Macneven,APS,1823,Resident,Member
Baron Charles E Coquebert de Mountbret,APS,1823,International,Member
John Plitt,APS,1823,Resident,Member
Heinrich C. Schumacher,APS,1823,International,Member
Count de Joseph B. Survilliers,APS,1823,Resident,Member
Nathaniel A. Ware,APS,1823,Resident,Member
Charles Lucien Bonaparte,APS,1824,International,Member
Heinrich J. Klaproth,APS,1824,International,Member
Ivan Krusenstern,APS,1824,International,Member
Severin Lorich,APS,1824,International,Member
Joseph B. McKean,APS,1824,Resident,Member
Alexander Pearson,APS,1824,International,Member
Henry Seybert,APS,1824,Resident,Member
Moses Stuart,APS,1824,Resident,Member
Conrad J. Temminck,APS,1824,International,Member
Charles N. Bancker,APS,1825,Resident,Member
John J. Bigsby,APS,1825,International,Member
Thomas Cadwalader,APS,1825,Resident,Member
Comte de Andre F. Miot,APS,1825,International,Member
Pierre J.M. Flourens,APS,1825,International,Member
John D. Godman,APS,1825,Resident,Member
Joseph R. Ingersoll,APS,1825,Resident,Member
John K. Kane,APS,1825,Resident,Member
Count John Laval,APS,1825,International,Member
Jos_ da Silva Lisboa,APS,1825,International,Member
Edward Livingston,APS,1825,Resident,Member
Comte Francois P. Real,APS,1825,International,Member
Count Nicholas Rumiantzov,APS,1825,International,Member
Philip Tidyman,APS,1825,Resident,Member
Lewis Cass,APS,1826,Resident,Member
Samuel Humphreys,APS,1826,Resident,Member
"Jakob, Grefve Graberg af Hemso",APS,1826,International,Member
Pablo de la Llave,APS,1826,International,Member
William McIlvaine,APS,1826,Resident,Member
Charles D. Meigs,APS,1826,Resident,Member
William Schaler,APS,1826,Resident,Member
William Shaler,APS,1826,Resident,Member
Henri C.G. de Struve,APS,1826,International,Member
John L. Tiarks,APS,1826,International,Member
James Brown,APS,1827,Resident,Member
Marcus Bull,APS,1827,Resident,Member
John W. Dalman,APS,1827,International,Member
George Emlen,APS,1827,Resident,Member
Joachim P.C. Giraldez,APS,1827,International,Member
John K. Mitchell,APS,1827,Resident,Member
Joel R. Poinsett,APS,1827,Resident,Member
Rene La Roche,APS,1827,Resident,Member
James Rush,APS,1827,Resident,Member
Charles Tait,APS,1827,Resident,Member
Honore Torombert,APS,1827,International,Member
Noah Webster,APS,1827,Resident,Member
John P. Wetherill,APS,1827,Resident,Member
Giovanni M. Zecchinelli,APS,1827,International,Member
Samuel Betton,APS,1828,Resident,Member
Jose M. Bustamante,APS,1828,International,Member
Jose M. Dantas,APS,1828,International,Member
Robert E. Griffith,APS,1828,Resident,Member
Thomas Harris,APS,1828,Resident,Member
Henry J. Anderson,APS,1828,Resident,Member
Isaac Lea,APS,1828,Resident,Member
Samuel G. Morton,APS,1828,Resident,Member
Charles Pickering,APS,1828,Resident,Member
James Renwick,APS,1828,Resident,Member
Jose M. Salazar,APS,1828,International,Member
George Ticknor,APS,1828,Resident,Member
